,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,player_name,player_height_ft,player_height_in,player_weight,player_position,height (cm),minutes/gm
28,28,86,2018,13:16,1.64,4.39,0.36,1.36,1.14,1.89,0.68,1.82,2.5,2.5,0.71,0.57,0.71,1.71,4.79,0.374,0.263,0.604,Michael Carter-Williams,,,190,G,,13.266666666666667
47,53,144,2018,24:28,3.47,8.62,2.6,7.02,0.74,0.92,0.26,1.75,2.02,1.36,1.02,0.11,0.75,1.74,10.28,0.40299999999999997,0.371,0.7959999999999999,Wayne Ellington,,,200,G,,24.466666666666665
104,68,253,2018,24:06,5.51,10.04,0.15,0.5,2.28,2.9,3.78,5.91,9.69,1.71,0.46,0.4,1.74,2.46,13.46,0.5489999999999999,0.294,0.787,Enes Kanter,,,262,C,,24.1
126,69,301,2018,30:18,4.04,10.13,2.17,5.84,1.91,2.36,0.46,2.0,2.46,2.32,0.8,0.25,1.32,2.32,12.17,0.39899999999999997,0.37200000000000005,0.81,Wesley Matthews,,,220,G-F,,30.3
131,12,311,2018,8:40,1.75,3.25,0.67,1.5,0.08,0.08,0.08,0.92,1.0,0.67,0.08,0.08,0.17,0.42,4.25,0.5379999999999999,0.444,1.0,Jodie Meeks,,,210,G,,8.666666666666666
137,45,325,2018,10:39,2.04,4.2,0.02,0.11,1.0,1.6,1.49,2.33,3.82,0.53,0.31,0.18,0.71,1.47,5.11,0.48700000000000004,0.2,0.625,Greg Monroe,,,265,C,,10.65
139,58,329,2018,21:54,3.52,8.34,1.17,3.5,1.22,1.59,1.05,3.52,4.57,1.36,0.62,0.38,0.93,3.02,9.43,0.42100000000000004,0.335,0.772,Markieff Morris,,,245,F,,21.9
204,11,1593,2018,12:13,1.64,3.27,0.0,0.0,0.27,0.27,1.09,3.91,5.0,1.0,0.27,0.73,0.73,2.0,3.55,0.5,0.0,1.0,Andrew Bogut,,,260,F,,12.216666666666667
205,3,1988,2018,4:15,1.0,2.0,0.0,0.0,0.0,0.67,0.67,0.33,1.0,0.33,0.0,0.33,1.0,2.0,2.0,0.5,0.0,0.0,Donatas Motiejunas,,,222,C,,4.25
206,7,2106,2018,6:10,0.43,1.0,0.14,0.14,0.0,0.0,0.57,2.29,2.86,0.57,0.14,0.14,0.71,1.29,1.0,0.429,1.0,0.0,Eric Moreland,,,238,F,,6.166666666666668
209,22,2215,2018,3:03,0.5,1.18,0.45,0.95,0.14,0.18,0.05,0.18,0.23,0.05,0.05,0.05,0.05,0.23,1.59,0.423,0.47600000000000003,0.75,Malcolm Miller,,,210,F,,3.05
